Subject, Start Date, Start Time, End Date, End Time, All Day Event, Description, Location, Private
"New Year's Day", 01/01/2015, 00:00, 01/01/2015, 00:00, True, "Holiday Event", , False
"Milad un-Nabi/Id-e-Milad", 01/04/2015, 00:00, 01/04/2015, 00:00, True, "Holiday Event", , False
"Guru Govind Singh Jayanti", 01/05/2015, 00:00, 01/05/2015, 00:00, True, "Holiday Event", , False
"Makar Sankranti", 01/14/2015, 00:00, 01/14/2015, 00:00, True, "Holiday Event", , False
"Pongal", 01/15/2015, 00:00, 01/15/2015, 00:00, True, "Holiday Event", , False
"Beti Bachao , Beti Padhao CampHoliday", 01/22/2015, 00:00, 01/22/2015, 00:00, True, "Holiday Event", , False
"Vasant Panchami", 01/24/2015, 00:00, 01/24/2015, 00:00, True, "Holiday Event", , False
"Republic Day", 01/26/2015, 00:00, 01/26/2015, 00:00, True, "Holiday Event", , False
"Guru Ravidas Jayanti", 02/03/2015, 00:00, 02/03/2015, 00:00, True, "Holiday Event", , False
"Maharishi Dayanand Saraswati JHoliday", 02/14/2015, 00:00, 02/14/2015, 00:00, True, "Holiday Event", , False
"Maha Shivaratri/Shivaratri", 02/17/2015, 00:00, 02/17/2015, 00:00, True, "Holiday Event", , False
"Shivaji Jayanti", 02/19/2015, 00:00, 02/19/2015, 00:00, True, "Holiday Event", , False
"Holika Dahana", 03/05/2015, 00:00, 03/05/2015, 00:00, True, "Holiday Event", , False
"Dolyatra", 03/06/2015, 00:00, 03/06/2015, 00:00, True, "Holiday Event", , False
"Chaitra Sukhladi", 03/21/2015, 00:00, 03/21/2015, 00:00, True, "Holiday Event", , False
"Rama Navami", 03/28/2015, 00:00, 03/28/2015, 00:00, True, "Holiday Event", , False
"Mahavir Jayanti", 04/02/2015, 00:00, 04/02/2015, 00:00, True, "Holiday Event", , False
"Good Friday", 04/03/2015, 00:00, 04/03/2015, 00:00, True, "Holiday Event", , False
"Easter Day", 04/05/2015, 00:00, 04/05/2015, 00:00, True, "Holiday Event", , False
"Ambedkar Jayanti", 04/14/2015, 00:00, 04/14/2015, 00:00, True, "Holiday Event", , False
"Vaisakhi", 04/14/2015, 00:00, 04/14/2015, 00:00, True, "Holiday Event", , False
"Mesadi/Vaisakhadi", 04/15/2015, 00:00, 04/15/2015, 00:00, True, "Holiday Event", , False
